----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.3,  768,      0.2,      0.0,    -9.81,      0.0,      0.0,      0.2

   11.81,  768,      0.2,      0.3,    -9.78,      0.0,      0.0,      0.4

   18.11,  768,     0.25,      0.7,    -9.80,      0.0,      0.0,      0.4

   24.60,  768,     0.35,     0.16,    -9.74,      0.1,      0.0,      0.1

   31.14,  768,     1.74,     0.17,    -9.90,      0.1,      0.1,     0.12

   37.82,  768,     0.48,     0.34,    -9.85,      0.3,      0.0,     0.18

   44.40,  768,    -2.83,     0.10,    -9.61,      0.2,      0.3,      0.9

    51.1,  768,     4.43,     0.11,   -10.44,      0.1,      0.4,      0.9

   57.68,  768,    -4.27,     0.78,   -10.50,     0.17,      0.3,      0.3

   64.29,  768,    -1.12,     3.88,    -14.9,     0.25,     0.29,     0.44

   70.98,  768,     4.33,    -4.17,    -9.68,     0.60,     0.18,     0.87

   77.68,  768,   -14.45,      0.3,   -18.52,     0.83,     0.14,     0.13

   84.27,  768,    -1.21,      2.5,     4.51,     0.78,      0.0,     0.68

   90.80,  768,     7.17,     -9.6,    -5.43,    -1.40,     0.44,     1.10

   97.58,  768,    -5.30,     3.83,   -19.19,      2.8,     0.16,     0.89

  104.17,  768,    -5.20,    14.73,   -10.24,     1.56,     0.20,     -1.1

  110.94,  768,     1.50,     0.94,    -3.78,     0.69,     0.38,     0.90

  117.36,  768,    -3.25,   -26.81,   -10.34,    -2.52,      0.4,     1.11

  124.12,  768,    -5.40,    -10.5,   -15.54,    -1.44,     0.76,     2.18

  130.73,  768,      9.0,    13.74,     1.18,     2.52,     0.52,     0.60

  137.33,  768,    13.31,    10.56,   -12.31,     0.13,     0.24,     0.12

  143.88,  768,    -8.50,     7.22,   -25.59,     1.13,     0.66,     0.52

  150.48,  768,   -11.43,     3.95,    -20.0,     0.32,     0.20,      0.0

  156.96,  768,     0.52,     4.41,   -13.20,     0.10,     0.91,     -1.0

  163.56,  768,    -6.44,   -20.51,    -7.37,    -2.34,      0.6,     0.51

  170.25,  768,    -8.52,   -18.80,    -5.23,    -2.54,      1.9,     1.89

  176.95,  768,     6.72,     1.19,     8.95,     0.76,     0.30,     1.36

  183.47,  768,     14.1,    -5.17,     3.34,     0.83,     0.51,     1.23

   190.5,  768,     8.96,    -3.25,    -5.34,     0.37,     0.58,     2.33

  196.67,  768,     5.87,     1.27,   -27.57,      0.7,     0.82,      2.4

  203.19,  768,     3.48,    22.13,    -9.46,     3.13,     -1.2,      0.5

  209.87,  768,    -5.17,      0.3,   -13.51,     0.90,     0.65,     0.15

  216.30,  768,   -14.89,     3.19,   -35.22,     0.79,     0.17,     0.94

  222.98,  768,    -13.1,    -2.88,   -10.27,     0.58,     0.14,     0.20

  229.59,  768,     4.33,    -5.81,    -1.48,    -1.22,     0.58,     0.47

  236.26,  768,    -1.87,   -18.88,     2.13,    -1.95,     0.58,     2.16

  242.94,  768,    -2.41,    -4.30,   -15.15,    -1.26,     0.20,     2.63

  249.55,  768,    13.99,     5.62,     1.34,     1.15,     -1.0,     1.50

  256.18,  768,    11.70,    -2.28,    -9.16,     0.12,     0.52,     1.89

  262.74,  768,     -7.2,     0.71,   -25.74,     1.47,     0.37,     2.23

  269.28,  768,     0.10,    18.49,   -10.15,     1.25,     0.30,     0.26

  275.88,  768,     2.52,     8.98,   -22.19,     0.71,    -1.12,      0.9

  282.47,  768,   -13.68,   -11.60,    -3.21,     -2.2,     0.55,     1.40

  289.15,  768,   -16.47,    -4.11,   -17.30,     0.14,     0.67,     1.32

  295.76,  768,     9.89,   -10.10,     6.11,     0.75,     0.46,     1.24

  302.30,  768,     6.37,   -17.81,    -4.24,    -1.98,      0.2,     2.69

  308.90,  768,     -1.2,    -4.24,    -11.4,     0.12,      0.7,     2.71

  315.42,  768,     7.72,    19.33,    -6.94,     2.29,     0.56,     1.20

   322.9,  768,     9.44,    12.65,   -14.99,      1.4,     0.41,     0.73

  328.69,  768,    -12.1,     6.80,   -21.38,     0.47,     0.45,     1.39

  335.29,  768,   -11.18,    11.73,   -26.89,     1.32,      0.3,     0.58

  341.92,  768,     0.81,     7.90,    -2.12,     0.49,      0.5,     0.14

  348.41,  768,    -1.55,   -18.22,     0.19,    -2.53,      0.0,     1.58

   355.7,  768,    -9.25,   -21.68,    -7.11,    -1.85,     0.34,     2.95

  361.77,  768,     2.55,      7.5,     6.79,     0.64,     0.51,     1.75

  368.28,  768,    13.54,    -1.98,    -6.83,     0.68,     0.22,     1.95

  374.91,  768,     2.52,    -2.55,   -14.99,     0.47,     0.17,     2.56

