----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.5,  512,    -3.54,     0.16,   -10.20,     0.20,     0.17,     0.50

    12.1,  512,    -3.50,     0.16,    -9.92,     0.14,     0.13,     0.54

   18.36,  512,    -3.51,     0.28,    -9.70,      0.5,      0.4,     0.60

   24.80,  512,    -3.54,     0.34,    -9.57,      0.3,      0.4,     0.66

   31.32,  512,    -3.70,     0.41,    -9.59,     0.12,     0.14,     0.73

    38.0,  512,    -3.49,     0.53,    -9.75,     0.19,     0.26,     0.79

   44.60,  512,    -2.81,     0.36,    -10.7,     0.19,     0.26,     0.83

   51.21,  512,    -2.22,     0.19,    -9.12,     0.12,     0.18,     0.85

   57.80,  512,    -4.18,     1.28,    -8.95,     0.34,     0.23,     0.89

   64.48,  512,    -3.58,     0.26,   -11.50,     0.21,     0.27,     0.90

    71.1,  512,     0.92,     0.67,    -8.92,     0.43,     0.21,     0.87

   77.51,  512,     -5.0,     4.14,     -9.7,     0.56,     0.12,     0.96

   84.19,  512,     0.73,    -2.31,   -11.99,     0.15,      0.6,     0.86

   90.80,  512,    -3.87,     2.17,    -8.55,     0.12,     0.29,    -1.13

   97.51,  512,    -1.56,    -1.11,   -12.53,     0.30,     0.30,     0.76

  104.16,  512,    -3.43,     3.19,    -8.83,     0.38,     0.49,    -1.42

  110.79,  512,     -1.3,     0.60,   -10.23,     0.48,     0.55,     0.58

  117.30,  512,    -3.44,     3.95,   -10.48,     0.37,     0.69,    -1.55

  123.98,  512,    -1.79,    -5.77,    -7.43,     0.13,     0.53,     0.51

  130.59,  512,    -1.92,      6.0,   -12.67,      0.5,     0.62,    -1.53

  137.18,  512,    -4.99,     -7.9,    -5.72,     0.47,     0.18,     0.71

  143.72,  512,     2.40,     7.13,   -10.59,     0.67,     0.33,    -1.37

  150.38,  512,    -9.18,    -5.14,    -8.32,     0.71,     0.47,     -1.1

  156.99,  512,     6.46,     2.77,    -5.55,     0.50,     0.22,    -1.13

  163.66,  512,    -8.37,     0.40,   -18.59,      0.7,     0.69,    -1.11

  170.21,  512,    -1.32,     0.17,     -1.2,      0.5,      0.6,    -1.22

  176.71,  512,     4.76,     0.66,   -15.99,      0.5,      0.7,     -1.6

