----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.6,    0,     0.52,      0.5,    -9.94,      0.0,      0.1,     0.37

   11.86,    0,     0.43,      0.5,    -10.2,      0.1,      0.2,     0.36

   18.10,    0,     0.53,     0.10,    -9.98,      0.0,      0.3,     0.35

   24.57,    0,     0.58,     0.14,    -9.98,      0.2,      0.2,     0.35

   31.13,    0,     0.69,     0.18,    -9.88,      0.4,      0.1,     0.35

   37.73,    0,     0.77,     0.31,    -9.71,      0.3,      0.2,     0.34

   44.34,    0,     0.93,     0.39,    -9.55,      0.1,      0.0,     0.30

   50.93,    0,     -1.2,     0.42,    -9.45,      0.1,      0.1,     0.28

   57.57,    0,     -1.1,     0.39,    -9.44,      0.2,      0.0,     0.27

   64.14,    0,     0.81,     0.23,    -9.53,      0.4,      0.0,     0.27

   70.72,    0,     0.76,     0.13,    -9.61,      0.4,      0.1,     0.28

   77.33,    0,     0.65,      0.6,    -9.59,      0.5,      0.2,     0.30

   83.93,    0,     0.71,      0.4,    -9.60,      0.7,      0.1,     0.32

   90.54,    0,     0.77,      0.7,    -9.61,      0.8,      0.2,     0.34

   97.13,    0,     0.86,      0.4,    -9.60,      0.8,      0.2,     0.34

  103.74,    0,     0.97,      0.0,    -9.72,      0.7,      0.2,     0.35

  110.26,    0,     -1.8,      0.5,    -9.69,      0.7,      0.4,     0.36

  116.92,    0,    -1.10,      0.3,    -9.74,      0.6,      0.4,     0.38

  123.55,    0,    -1.14,      0.6,    -9.72,      0.6,      0.7,     0.37

  130.19,    0,    -1.34,      0.8,    -9.66,      0.8,     0.10,     0.33

  136.81,    0,    -1.51,     0.15,    -9.68,      0.6,     0.11,     0.29

  143.52,    0,    -1.66,     0.18,    -9.68,      0.3,     0.11,     0.27

  150.16,    0,    -1.84,     0.24,    -9.70,      0.1,     0.13,     0.23

  156.81,    0,    -1.93,     0.31,    -9.73,      0.1,     0.11,     0.20

  163.41,    0,    -1.93,     0.30,    -9.72,      0.0,     0.11,     0.15

   170.1,    0,    -1.78,     0.24,    -9.78,      0.1,     0.10,     0.13

  176.54,    0,    -1.81,     0.14,    -9.87,      0.1,      0.8,      0.9

  183.13,    0,    -1.81,     0.16,    -9.89,      0.1,      0.4,     0.10

  189.73,    0,    -1.77,     0.17,    -9.85,      0.0,      0.0,     0.10

  196.32,    0,    -1.62,     0.19,    -9.83,      0.4,      0.3,     0.11

  202.92,    0,    -1.49,     0.15,    -9.77,      0.7,      0.7,     0.13

  209.53,    0,    -1.34,      0.7,    -9.70,     0.10,      0.7,     0.12

  216.13,    0,    -1.29,     0.10,    -9.57,     0.12,      0.6,     0.13

  222.79,    0,    -1.28,      0.5,    -9.50,     0.13,      0.4,     0.11

  229.34,    0,    -1.28,      0.8,    -9.56,     0.12,      0.3,     0.10

  235.94,    0,    -1.27,     0.10,    -9.66,      0.9,      0.3,     0.10

  242.58,    0,    -1.22,      0.7,    -9.67,      0.7,      0.1,      0.8

   249.9,    0,    -1.22,      0.9,    -9.69,      0.5,      0.0,      0.6

  255.65,    0,    -1.28,     0.16,    -9.61,      0.5,      0.0,      0.4

  262.29,    0,    -1.32,     0.18,    -9.52,      0.4,      0.2,      0.3

  268.87,    0,    -1.25,     0.14,    -9.47,      0.3,      0.2,      0.1

  275.47,    0,    -1.15,     0.22,    -9.53,      0.3,      0.0,      0.0

   282.6,    0,     -1.8,     0.33,    -9.49,      0.5,      0.0,      0.1

  288.66,    0,     0.92,     0.32,    -9.49,      0.8,      0.2,      0.2

  295.18,    0,     0.87,     0.25,    -9.44,     0.12,      0.1,      0.1

  301.76,    0,     0.80,      0.8,    -9.39,     0.13,      0.1,      0.0

  308.28,    0,     0.80,      0.2,    -9.38,     0.13,      0.0,      0.3

