----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.7,  768,      0.0,      0.0,    -9.83,      0.0,      0.0,      0.0

   11.90,  768,      0.2,      0.1,    -9.82,      0.0,      0.0,      0.0

   18.15,  768,     0.17,      0.2,    -9.77,      0.0,      0.0,      0.2

   24.66,  768,     0.22,     0.12,    -9.78,      0.0,      0.0,      0.5

   31.19,  768,     0.52,      0.6,    -9.81,      0.0,      0.0,      0.5

   37.78,  768,     1.18,     0.12,    -9.86,      0.1,      0.1,     0.28

   44.46,  768,    -3.40,     0.32,    -9.79,      0.0,      0.9,     0.52

    51.6,  768,     3.69,     0.72,    -8.99,     0.19,      0.8,     0.42

   57.65,  768,     -4.0,     1.11,   -10.27,     0.14,      0.9,      0.3

   64.33,  768,     5.71,    -2.14,    -7.10,     0.32,     0.17,     0.58

    71.4,  768,    -4.71,     0.23,   -10.38,     0.32,     0.42,     0.66

   77.64,  768,     1.47,     1.79,   -11.54,     0.30,     0.60,      0.4

   84.30,  768,     6.24,    -6.67,    -3.62,     0.42,     0.36,     0.68

   90.91,  768,    -3.66,    15.93,   -13.34,      2.6,     0.31,     0.56

   97.61,  768,    -5.72,     -7.4,    -3.13,    -1.97,     0.41,     0.69

  104.22,  768,    -1.10,   -11.93,     0.55,     -1.4,     0.11,     0.55

  110.81,  768,     6.53,     1.37,    -4.19,     0.58,     0.11,     0.81

  117.40,  768,     2.47,    13.98,   -22.60,     1.51,     0.27,     0.15

   124.9,  768,    -3.88,    12.79,   -22.84,     0.30,      0.2,     -1.8

  130.69,  768,    -6.18,    -7.62,      0.1,    -1.40,     0.10,     0.64

  137.20,  768,    -2.26,   -12.70,     2.10,    -1.42,      0.9,     0.53

  143.88,  768,     6.71,     -7.6,     1.16,     0.49,      0.8,     0.85

  150.36,  768,     7.96,     3.67,   -12.75,     0.96,     0.20,     0.69

   157.2,  768,      5.8,    10.58,   -19.26,     1.65,      0.5,     0.19

  163.64,  768,    -4.86,    10.63,   -20.66,     0.93,     0.11,     0.72

  170.22,  768,     -8.3,     5.51,   -14.13,     0.30,      0.9,     0.86

  176.80,  768,    -2.74,   -11.69,    -4.31,    -1.38,     0.11,     0.49

  183.50,  768,     0.43,   -13.70,     2.55,    -1.47,     0.10,     0.16

   190.9,  768,     4.12,   -13.64,     0.90,     0.83,      0.7,     0.75

  196.53,  768,     8.37,     3.48,   -12.51,     0.61,     0.17,     0.84

  203.14,  768,     5.97,     8.76,   -17.69,     1.58,      0.4,     0.31

  209.82,  768,     3.21,    11.63,   -23.45,      1.1,     0.16,     0.33

  216.49,  768,    -7.37,     9.97,   -18.78,     0.58,      0.3,     0.82

   223.2,  768,    -7.96,      1.1,    -9.64,     0.87,     0.10,     0.83

  229.56,  768,     -4.4,   -11.79,     2.10,    -1.35,     0.10,      0.5

  236.22,  768,     0.68,   -14.32,     3.69,    -1.38,     0.13,     0.33

  242.83,  768,     3.51,     -4.8,     0.76,     0.60,      0.8,     0.85

  249.34,  768,     7.73,     0.31,   -10.98,     0.99,      0.4,     0.54

  255.86,  768,     7.55,     9.22,   -17.79,     1.38,     0.24,     0.20

  262.64,  768,    -3.43,     15.8,   -21.49,     1.70,      0.1,     0.27

  269.24,  768,    -5.61,     8.51,   -18.86,     0.38,      0.4,     0.83

  275.82,  768,    -8.48,     6.75,   -15.10,     0.31,      0.5,     0.83

  282.42,  768,     -4.8,   -11.58,     3.37,    -1.52,     0.15,     0.42

  289.11,  768,    -1.76,   -12.70,     2.13,    -1.39,      0.2,     0.48

  295.71,  768,     2.85,    -8.14,     2.81,     0.79,     0.14,     0.74

  302.26,  768,      9.4,     0.69,   -10.39,     0.36,     0.24,     0.89

  308.76,  768,     6.63,      4.5,    -14.7,     1.55,      0.6,     0.38

  315.43,  768,     0.76,    13.40,   -23.67,     1.20,     0.22,     0.52

   322.4,  768,    -5.83,    13.94,   -22.80,     1.17,      0.3,     0.74

  328.72,  768,    -6.72,    -5.61,    -14.6,     0.71,      0.7,     0.92

  335.25,  768,    -6.64,     -8.5,     0.81,    -1.13,      0.3,     0.42

  341.78,  768,    -1.65,   -13.41,     4.35,    -1.18,     0.18,     0.45

  348.51,  768,     7.19,    -7.37,     1.32,     0.62,     0.13,     0.79

   355.5,  768,     7.38,    -5.12,    -6.85,     0.41,     0.16,     0.87

  361.64,  768,      9.8,    12.93,   -14.46,      1.9,     0.31,     0.46

  368.26,  768,    -1.62,    15.48,   -24.30,     1.56,      0.7,     0.45

  374.93,  768,    -3.22,    10.17,   -20.71,     0.27,      0.7,     0.80

  381.47,  768,    -9.23,     0.68,   -19.54,     0.10,      0.4,     0.56

  387.97,  768,     -5.9,   -10.16,     2.27,    -1.52,     0.21,     0.45

  394.71,  768,    -3.35,    -11.8,     0.66,    -1.38,     0.13,     0.50

  401.26,  768,     6.27,   -10.94,    -1.88,     0.55,     0.26,     0.79

  407.85,  768,     9.75,     0.57,    -9.32,     0.36,     0.38,     0.85

  414.36,  768,      1.2,    12.27,   -20.70,     1.70,     0.17,     0.31

   421.6,  768,     0.61,    12.59,    -23.9,     0.86,     0.16,     0.39

  427.60,  768,     -6.4,    15.33,   -23.12,      1.1,      0.5,     0.83

  434.27,  768,    -6.94,    -6.92,    -1.68,    -1.37,     0.19,     0.86

  440.93,  768,    -6.17,    -8.25,    -1.61,    -1.23,     0.10,     0.25

  447.55,  768,     0.85,   -12.31,     4.70,    -1.27,     0.29,     0.38

  454.14,  768,     8.50,    -5.29,    -5.46,     0.45,     0.31,     0.87

  460.67,  768,     6.46,    -2.79,    -8.93,     0.99,     0.21,     0.74

  467.25,  768,     3.27,     14.1,   -23.58,     1.21,     0.28,     0.20

  473.95,  768,    -3.98,    15.70,   -24.13,     1.59,      0.2,     0.54

  480.56,  768,    -5.30,      7.8,   -17.86,     0.50,      0.9,     0.92

   487.6,  768,    -7.56,    -5.21,    -3.37,     0.75,      0.8,     0.64

  493.61,  768,    -3.34,   -12.11,     3.89,    -1.51,     0.27,      0.0

  500.35,  768,     7.17,    -9.27,     1.33,     -1.9,     0.22,     0.63

  506.89,  768,     6.38,    -7.20,    -5.15,     0.33,     0.24,     0.90

  513.46,  768,     10.0,    12.85,   -13.10,      1.1,     0.30,     0.54

  520.15,  768,    -1.34,    14.98,   -23.67,     1.83,      0.6,      0.8

  526.76,  768,    -2.71,    10.80,   -21.51,     0.22,     0.26,     0.71

  533.37,  768,    -7.68,     0.19,   -19.61,     0.20,      0.8,     0.85

  539.79,  768,    -5.80,    -9.77,     1.64,    -1.51,     0.30,     0.48

  546.50,  768,    -3.39,   -11.30,     0.64,    -1.42,     0.17,     0.17

   553.8,  768,     5.76,   -10.98,    -1.34,     0.63,      0.1,     0.78

  559.67,  768,     9.44,    -1.96,    -8.33,     0.36,     0.33,     0.87

  566.27,  768,     1.23,    12.22,   -11.80,     1.52,     0.11,     0.43

  572.96,  768,     1.14,    13.81,   -23.71,     1.15,     0.19,     0.49

  579.59,  768,    -5.10,    15.40,   -23.81,      1.2,      0.4,     0.73

  586.16,  768,    -7.61,    -5.83,   -15.26,     -1.8,     0.18,     0.90

  592.78,  768,    -6.87,    -7.17,    -1.82,    -1.17,      0.6,     0.38

  599.31,  768,    -2.23,    -13.4,     4.48,    -1.37,     0.27,     0.51

  605.97,  768,     7.61,    -7.74,    -3.43,     0.71,     0.27,     0.81

  612.50,  768,     6.58,    -5.85,    -6.50,     0.52,     0.23,     0.87

   619.8,  768,     5.46,    13.46,   -14.12,     1.17,     0.31,     0.31

  625.79,  768,    -1.67,    15.55,   -23.93,     1.85,      0.3,     0.50

  632.39,  768,    -2.72,    10.76,   -21.58,      0.5,     0.27,     0.83

  638.92,  768,    -8.86,     0.19,    -7.85,     0.20,      0.7,     0.81

  645.40,  768,     -6.0,    -9.66,     1.68,    -1.56,     0.29,     0.34

   652.9,  768,     3.52,   -12.25,     0.76,    -1.37,     0.17,     0.32

  658.70,  768,     5.53,   -11.49,     0.95,     0.58,     0.24,      1.7

  665.29,  768,     9.32,    -2.89,    -7.62,     0.52,     0.31,     0.83

  671.89,  768,     2.21,    11.14,    -20.0,     1.64,     0.11,     0.34

  678.58,  768,      2.8,    14.11,   -23.81,      1.6,     0.15,     0.31

  685.16,  768,    -4.47,     8.29,   -24.30,     1.18,      0.5,     0.80

  691.78,  768,    -7.83,     -4.8,    -4.98,    -1.12,     0.17,     0.90

  698.38,  768,    -7.65,    -5.45,     -3.9,    -1.40,      0.6,     0.42

  704.91,  768,     2.59,    -14.5,     3.91,    -1.38,     0.28,     0.53

  711.59,  768,      6.8,    -10.6,    -1.63,     0.70,     0.25,     0.83

  718.11,  768,     6.59,     3.84,    -4.15,     0.52,     0.20,     0.87

  724.70,  768,     6.94,    11.99,   -20.94,     1.14,     0.29,     0.34

  731.40,  768,     0.12,     14.6,   -22.62,     1.85,      0.3,     0.18

   738.1,  768,    -6.68,     3.76,    -23.7,      0.2,      0.2,     -1.8

  744.54,  768,     -9.0,     4.68,   -12.54,      0.0,     0.11,     0.83

   751.5,  768,    -7.20,   -13.27,    -1.14,    -1.54,     0.29,     0.39

  757.73,  768,     0.92,   -12.83,     1.12,    -1.39,     0.16,     0.53

  764.34,  768,     4.16,   -13.31,     1.82,     0.69,     0.31,     0.76

