----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.7,    0,      0.0,      0.0,    -9.79,      0.0,      0.0,      0.0

   11.86,    0,      0.0,      0.2,    -9.79,      0.0,      0.0,      0.0

   18.11,    0,      0.0,      0.1,    -9.78,      0.0,      0.0,      0.0

   24.50,    0,      0.3,      0.0,    -9.78,      0.0,      0.0,      0.0

   30.97,    0,      0.0,      0.2,    -9.78,      0.0,      0.0,      0.0

   37.45,    0,      0.0,      0.0,    -9.81,      0.0,      0.0,      0.0

   43.99,    0,      0.1,      0.2,    -9.82,      0.0,      0.1,      0.0

   50.57,    0,      0.0,      0.0,    -9.80,      0.0,      0.0,      0.0

   57.15,    0,      0.4,      0.0,    -9.79,      0.0,      0.0,      0.0

   63.76,    0,      0.1,      0.0,    -9.77,      0.0,      0.0,      0.0

   70.44,    0,      0.3,      0.0,    -9.77,      0.0,      0.0,      0.0

    77.1,    0,      0.2,      0.0,    -9.79,      0.0,      0.0,      0.0

   83.61,    0,      0.2,      0.0,    -9.82,      0.0,      0.0,      0.0

   90.24,    0,      0.2,      0.0,    -9.79,      0.0,      0.0,      0.0

   96.85,    0,      0.1,      0.1,    -9.81,      0.0,      0.0,      0.0

  103.50,    0,      0.0,      0.0,    -9.84,      0.0,      0.0,      0.0

   110.5,    0,      0.3,      0.1,    -9.81,      0.0,      0.0,      0.0

  116.65,    0,      0.0,      0.0,    -9.83,      0.0,      0.0,      0.0

  123.22,    0,      0.4,      0.3,    -9.81,      0.0,      0.0,      0.0

  129.88,    0,      0.0,      0.0,    -9.79,      0.0,      0.0,      0.0

  136.51,    0,      0.0,      0.0,    -9.80,      0.0,      0.0,      0.0

  143.13,    0,      0.0,      0.2,    -9.82,      0.0,      0.0,      0.0

  149.70,    0,      0.1,      0.0,    -9.78,      0.0,      0.0,      0.0

  156.30,    0,      0.0,      0.1,    -9.83,      0.0,      0.0,      0.0

  162.90,    0,      0.3,      0.2,    -9.83,      0.0,      0.1,      0.0

  169.48,    0,      0.1,      0.0,    -9.81,      0.0,      0.0,      0.0

  176.11,    0,      0.2,      0.1,    -9.79,      0.0,      0.0,      0.0

  182.71,    0,      0.2,      0.4,    -9.77,      0.0,      0.0,      0.0

  189.35,    0,      0.0,      0.2,    -9.82,      0.0,      0.0,      0.0

  195.91,    0,      0.1,      0.0,    -9.83,      0.0,      0.0,      0.0

  202.51,    0,      0.2,      0.1,    -9.83,      0.0,      0.0,      0.0

  209.11,    0,      0.1,      0.2,    -9.82,      0.0,      0.0,      0.0

  215.75,    0,      0.3,      0.1,    -9.80,      0.0,      0.0,      0.0

  222.40,    0,      0.1,      0.0,    -9.81,      0.0,      0.0,      0.0

   229.0,    0,      0.0,      0.2,    -9.78,      0.0,      0.0,      0.0

  235.61,    0,      0.0,      0.0,    -9.83,      0.0,      0.0,      0.0

  242.17,    0,      0.0,      0.0,    -9.79,      0.0,      0.0,      0.0

  248.80,    0,      0.0,      0.0,    -9.83,      0.0,      0.0,      0.0

  255.41,    0,      0.2,      0.0,    -9.83,      0.0,      0.0,      0.0

   262.1,    0,      0.1,      0.1,    -9.75,      0.0,      0.0,      0.0

  268.60,    0,      0.1,      0.0,    -9.78,      0.0,      0.0,      0.0

  275.21,    0,      0.0,      0.2,    -9.79,      0.0,      0.0,      0.0

  281.80,    0,      0.2,      0.0,    -9.81,      0.0,      0.0,      0.0

  288.38,    0,      0.2,      0.1,    -9.81,      0.0,      0.0,      0.0

   295.5,    0,      0.2,      0.2,    -9.81,      0.0,      0.0,      0.0

  301.61,    0,      0.0,      0.3,    -9.81,      0.0,      0.0,      0.0

  308.20,    0,      0.0,      0.0,    -9.77,      0.0,      0.0,      0.0

  314.82,    0,      0.0,      0.0,    -9.81,      0.0,      0.0,      0.0

  321.37,    0,      0.1,      0.0,    -9.79,      0.0,      0.0,      0.0

   328.1,    0,      0.1,      0.0,    -9.82,      0.0,      0.0,      0.0

  334.62,    0,      0.1,      0.1,    -9.81,      0.0,      0.0,      0.0

  341.22,    0,      0.2,      0.0,    -9.81,      0.0,      0.0,      0.0

  347.79,    0,      0.0,      0.2,    -9.83,      0.0,      0.0,      0.0

  354.41,    0,      0.2,      0.1,    -9.82,      0.0,      0.0,      0.0

   361.6,    0,      0.0,      0.1,    -9.79,      0.0,      0.0,      0.0

