----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.5,  512,    -3.47,     2.57,    -9.92,     0.10,     0.69,     2.97

   12.10,  512,    -3.95,     2.54,    -9.93,     0.14,     0.85,     2.99

   18.46,  512,    -4.64,     2.51,    -9.93,     0.26,      1.4,      3.0

    25.5,  512,    -5.11,     2.43,    -10.1,     0.37,     1.22,     2.99

   31.65,  512,    -5.56,      2.9,   -10.25,     0.41,     1.37,     2.98

   38.28,  512,    -5.69,     1.59,   -10.46,     0.36,     1.43,     2.95

   44.94,  512,     -5.6,     1.49,   -10.53,     0.33,     1.35,     2.87

   51.52,  512,    -4.51,     1.71,    -8.56,     0.42,     1.13,     2.81

    58.8,  512,    -7.60,     0.98,    -9.17,     0.30,     1.19,     2.87

   64.64,  512,    -5.97,     0.30,   -11.10,      0.1,     1.22,     2.78

   71.26,  512,    -3.94,     0.52,    -5.52,      0.0,     0.84,     2.68

   77.78,  512,    -9.71,     0.54,    -9.39,      0.8,      1.3,     2.70

   84.35,  512,    -2.40,     0.57,    -8.33,     0.31,     0.86,     2.36

   90.91,  512,   -10.67,     1.84,    -5.72,      0.9,     0.85,     2.41

   97.56,  512,    -2.77,    -1.42,   -11.20,     0.46,     0.64,     2.15

  104.19,  512,   -12.16,     3.85,    -8.46,     0.12,     0.85,     2.16

  110.85,  512,    -2.98,    -3.20,   -10.96,     0.63,     0.53,     2.16

  117.46,  512,   -10.86,     4.86,    -12.0,     0.57,     0.77,     2.23

   124.5,  512,    -4.63,    -4.42,    -6.38,    -1.36,     0.59,     1.50

  130.74,  512,    -6.66,      1.2,   -15.14,     0.59,     0.34,     2.56

  137.26,  512,    -9.37,     4.80,    -6.93,     0.84,     0.74,     1.24

  143.81,  512,    -3.40,    -6.90,   -13.81,     0.32,      0.9,     2.36

  150.45,  512,    -8.57,      9.1,    -9.62,     0.76,     0.60,     1.63

   157.1,  512,    -5.91,   -11.70,    -7.72,    -1.49,     0.14,     1.27

  163.77,  512,    -6.63,     3.52,   -11.32,     1.45,      0.6,     2.12

  170.37,  512,    -9.67,     1.94,    -6.68,     0.67,     0.71,     0.41

  176.82,  512,    -5.94,    -7.88,    -10.8,     0.24,     0.16,     1.74

  183.47,  512,    -8.66,     9.74,    -7.92,     0.76,     0.58,     0.69

  189.99,  512,    -7.62,   -13.19,    -7.15,    -1.48,     0.16,     0.57

  196.68,  512,    -6.67,     4.46,    -9.70,     1.43,     0.25,     1.43

  203.30,  512,    -9.14,     0.33,    -7.25,    -1.20,     0.29,     0.20

  209.82,  512,    -5.81,    -7.17,   -10.46,      0.4,     0.32,     1.17

  216.42,  512,    -7.79,     8.99,    -8.97,     0.63,     0.43,     0.17

  222.99,  512,    -7.96,   -13.50,    -8.38,    -1.57,     0.13,     0.15

  229.69,  512,    -6.28,     5.19,   -10.74,     1.40,     0.20,     0.90

  236.30,  512,    -8.74,    -1.55,    -7.93,    -1.25,     0.35,     0.63

  242.90,  512,     -6.0,    -5.70,   -10.54,     0.21,     0.48,     0.77

  249.41,  512,    -8.43,     8.14,    -8.96,     0.56,     0.44,     0.34

   256.1,  512,    -8.18,   -13.63,    -8.48,    -1.25,      0.2,     0.23

  262.68,  512,    -7.57,     6.63,   -10.31,     1.65,     0.16,     0.29

  269.30,  512,    -9.20,    -2.89,    -7.52,    -1.18,     0.70,    -1.16

  275.99,  512,    -6.32,    -4.13,   -10.86,     0.52,      0.1,     0.16

  282.51,  512,    -8.49,     7.39,    -8.24,     0.49,     0.82,     -1.2

   289.4,  512,    -6.61,   -12.59,    -9.19,     0.94,     0.14,     0.73

  295.63,  512,    -7.40,     7.35,   -10.63,     1.47,     0.33,     0.39

  302.31,  512,    -8.11,    -3.67,    -7.92,    -1.32,     0.59,    -1.74

  308.98,  512,    -5.41,    -8.10,   -12.99,     0.51,     0.20,     0.39

  315.49,  512,    -8.48,     7.10,    -8.87,     0.31,     0.51,    -1.65

   322.9,  512,    -5.56,   -11.79,   -10.75,    -1.20,     0.27,    -1.39

  328.80,  512,    -6.72,     7.42,   -13.22,     1.36,     0.21,     0.92

  335.38,  512,    -7.11,    -2.74,    -7.59,    -1.24,      0.7,    -2.33

  341.98,  512,    -4.92,    -6.16,   -13.85,     0.32,     0.62,     -1.3

  348.53,  512,     -9.5,     8.60,    -7.79,     0.49,     0.23,    -2.11
