----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.4,    0,    -8.86,    -8.48,   -11.34,     0.53,     0.77,     1.97

    12.6,    0,    -8.68,    -8.66,   -10.87,     0.53,     0.72,     1.83

   18.42,    0,    -8.52,    -8.65,   -10.57,     0.48,     0.65,     1.69

   24.93,    0,    -8.17,    -9.17,   -10.37,     0.40,     0.57,     1.52

   31.53,    0,     -8.3,    -9.59,   -10.30,     0.36,     0.49,     1.32

   38.12,    0,     -8.1,    -9.89,   -10.50,     0.29,     0.44,      1.9

   44.70,    0,    -7.85,   -10.11,   -10.53,     0.16,     0.42,     0.85

   51.27,    0,    -7.54,   -10.33,   -10.19,      0.4,     0.36,     0.62

   57.86,    0,    -7.24,   -10.64,    -9.43,      0.4,     0.32,     0.39

   64.45,    0,    -7.12,   -10.77,    -8.74,      0.8,     0.29,     0.17

    71.5,    0,    -6.97,    -11.4,    -8.22,      0.6,     0.28,      0.6

   77.57,    0,    -6.84,    -11.6,     -8.9,      0.5,     0.29,     0.29

   84.16,    0,    -6.55,   -11.14,     -8.5,      0.1,     0.26,     0.51

   90.79,    0,    -6.58,   -10.94,    -8.18,      0.6,     0.25,     0.72

   97.43,    0,    -6.50,   -10.64,    -8.34,      0.6,     0.28,     0.92

   104.5,    0,    -6.12,   -10.15,    -8.35,      0.5,     0.25,     -1.8

  110.68,    0,    -5.80,    -9.82,    -8.55,      0.5,     0.21,    -1.25

  117.32,    0,    -5.76,    -9.36,    -8.91,      0.3,     0.17,    -1.43

  123.94,    0,    -5.86,    -8.88,    -9.43,      0.3,     0.16,    -1.63

  130.54,    0,    -5.66,    -8.17,    -10.6,     0.13,      0.7,    -1.83

  137.14,    0,    -5.38,    -7.84,   -10.26,     0.26,     0.10,    -1.98

  143.76,    0,    -5.15,    -7.10,    -9.95,     0.38,     0.29,    -2.10

  150.35,    0,    -5.26,     -7.7,    -9.50,     0.35,     0.41,    -2.27

  156.96,    0,    -5.40,    -5.85,    -9.55,     0.43,     0.48,    -2.42

  163.55,    0,    -5.55,    -5.43,    -9.57,     0.52,     0.41,    -2.58

  170.17,    0,    -5.12,    -4.97,    -9.83,     0.47,     0.40,    -2.69

  176.83,    0,    -4.75,    -4.21,   -10.18,     0.43,     0.38,    -2.80

  183.44,    0,    -4.65,    -3.46,   -10.78,     0.46,     0.38,    -2.89

   190.3,    0,    -4.28,    -2.81,   -11.18,     0.53,     0.38,     -3.0

  196.62,    0,    -3.66,    -2.98,   -11.88,     0.71,     0.41,    -3.14

  203.24,    0,    -2.89,     -1.2,   -12.27,     0.87,     0.55,    -3.15

  209.83,    0,    -2.41,     0.67,   -12.48,     0.92,     0.73,    -3.16

  216.38,    0,    -2.37,      0.1,   -12.34,     0.97,     0.82,    -3.19

  222.96,    0,    -2.55,     0.80,   -12.14,      1.3,     0.84,    -3.24

  229.57,    0,    -2.78,     1.12,   -11.89,      1.6,     0.86,    -3.26

  236.24,    0,    -2.95,     1.35,   -11.76,      1.1,     0.80,    -3.30

  242.91,    0,     -3.8,     1.78,   -11.82,     0.95,     0.70,    -3.34

  249.44,    0,    -2.69,      2.9,   -11.99,     0.86,     0.62,    -3.36

  255.99,    0,    -1.91,     2.77,   -12.21,     0.75,     0.58,    -3.37

  262.66,    0,     -1.1,     3.80,   -12.53,     0.73,     0.58,    -3.33

  269.25,    0,      0.4,     4.54,    -13.2,     0.80,     0.63,    -3.54

  275.75,    0,     1.13,      5.3,   -13.45,     0.86,     0.68,    -3.19

  282.38,    0,      2.1,     5.56,   -13.57,     0.95,     0.70,    -3.12

  288.97,    0,     2.62,      6.2,   -13.40,      1.4,     0.72,     -3.1

  295.58,    0,      3.9,     6.32,    -13.4,     1.10,     0.76,    -2.88

  302.24,    0,     3.46,     6.60,   -12.69,     1.17,     0.77,    -2.74

  308.93,    0,     3.79,     6.80,   -12.37,     1.18,     0.77,    -2.60

  315.55,    0,     3.92,     6.85,    -12.2,     1.15,     0.70,    -2.47

   322.8,    0,      4.2,      7.4,   -11.79,      1.9,     0.60,    -2.34

  328.65,    0,     4.12,     7.31,   -11.47,      1.2,     0.50,    -2.21

  335.28,    0,     4.39,     7.52,   -11.44,     0.93,     0.40,     -2.8

  341.87,    0,     4.82,     7.80,   -11.44,     0.84,     0.29,    -1.94

  348.46,    0,     5.46,     8.18,   -11.38,     0.77,     0.23,    -1.82

   355.5,    0,      6.2,     8.57,   -11.31,     0.72,     0.22,    -1.66

  361.66,    0,     6.66,     8.98,   -11.13,     0.67,     0.21,    -1.49

  368.26,    0,     7.24,     9.38,   -11.11,     0.63,     0.19,    -1.30

  374.86,    0,     7.67,     9.74,    -11.5,     0.59,     0.19,     -1.9

  381.39,    0,      8.7,    10.20,   -11.13,     0.59,     0.20,     0.88

  387.97,    0,     8.58,    10.20,   -10.95,     0.57,     0.21,     0.68

  394.52,    0,     8.67,    10.54,   -10.74,     0.58,     0.26,     0.47

  401.11,    0,     8.78,    10.72,   -10.40,     0.62,     0.32,     0.24

  407.71,    0,      9.5,    10.57,    -9.90,     0.64,     0.36,      0.1

  414.30,    0,     8.91,    10.10,    -9.31,     0.56,     0.34,     0.20

  420.91,    0,     8.80,     9.84,    -8.93,     0.42,     0.24,     0.43

  427.50,    0,     8.78,     9.73,    -8.63,     0.29,     0.11,     0.66

  434.11,    0,     8.63,     9.50,    -8.51,     0.47,      0.5,     0.86

  440.71,    0,     8.42,     9.10,    -8.48,      0.9,     0.22,      1.6

  447.32,    0,     8.12,     8.82,    -8.40,      0.1,     0.37,     1.24

  453.97,    0,     7.90,     8.56,    -8.34,     0.11,     0.45,     1.43

  460.59,    0,     7.57,     8.26,    -8.41,     0.18,     0.49,     1.60

  467.20,    0,     7.24,     7.90,    -8.43,     0.22,     0.49,     1.74

  473.82,    0,     6.85,     7.49,    -8.40,     0.28,     0.48,     1.88

  480.41,    0,     6.40,     6.99,    -8.28,     0.32,     0.48,      2.2

   487.0,    0,     6.18,     6.61,    -8.13,     0.37,     0.45,     2.18

  493.60,    0,     5.74,      6.8,     -8.5,     0.45,     0.47,     2.33

  500.20,    0,     5.27,     5.51,    -7.98,     0.55,     0.51,     2.47

  506.82,    0,     4.93,      5.6,    -7.97,     0.67,     0.56,     2.61

  513.40,    0,     4.30,     4.61,     -8.8,     0.79,     0.63,     2.73

  519.99,    0,     3.78,     4.26,    -8.36,     0.90,     0.72,     2.84

  526.62,    0,     3.35,     3.92,    -8.54,     -1.1,     0.78,     2.93

  533.30,    0,     2.88,     3.78,    -8.72,    -1.12,     0.79,      3.2

  539.91,    0,     2.17,     3.70,    -8.94,    -1.19,     0.75,      3.8

  546.51,    0,     1.32,     3.70,    -9.26,    -1.24,     0.66,     3.15

  553.11,    0,     0.81,     3.40,    -9.71,    -1.24,     0.54,     3.20

  559.71,    0,     0.39,      3.5,    -10.8,    -1.22,     0.41,     3.25

  566.31,    0,      0.8,     2.56,   -10.46,    -1.19,     0.29,     3.30

  572.90,    0,     0.70,      2.8,   -10.65,    -1.15,     0.22,     3.33

  579.50,    0,    -1.70,     1.47,   -10.85,    -1.14,     0.23,     3.36

  586.20,    0,    -2.74,     0.77,   -11.11,    -1.12,     0.28,     3.39

  592.72,    0,    -3.71,     0.13,   -11.35,    -1.13,     0.37,     3.39

  599.30,    0,     -5.6,     0.70,   -11.74,    -1.14,     0.49,     3.36

  605.91,    0,    -6.27,    -1.31,   -12.12,    -1.14,     0.63,     3.31

  612.59,    0,    -7.35,    -1.97,   -12.31,    -1.12,     0.80,     3.24

  619.20,    0,    -8.51,    -2.79,   -12.65,    -1.11,     0.86,     3.15

  625.80,    0,    -9.17,    -3.58,   -12.87,     -1.4,     0.95,      3.5

